cod_distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,fecha_month,fecha_day,hora_hour,hora_minute,sexo_Mujer,sexo_Hombre,sexo_Desconocido,tipo_vehiculo_movilidad_urbana_ligera,tipo_vehiculo_vehículos_ligeros_motorizados,tipo_vehiculo_vehículos_personales_y_utilitarios,tipo_vehiculo_transporte_pesado,tipo_vehiculo_remolques,tipo_vehiculo_sin_especificar,rango_edad_0,rango_edad_0-17,rango_edad_18-24,rango_edad_25-34,rango_edad_35-44,rango_edad_45-59,rango_edad_60+,tipo_persona_Conductor,tipo_persona_Pasajero,tipo_persona_Peatón,positiva_alcohol,cod_lesividad
5,0,6,442890.0,4478861.0,1,4,19,45,1,2,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0
2,7,3,441144.0,4472723.0,1,4,19,50,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
14,3,3,446088.0,4472767.0,1,4,19,55,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
13,6,3,442991.0,4471236.0,1,4,18,20,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1
9,6,3,437593.0,4474367.0,1,4,19,0,0,1,2,0,0,3,0,0,0,2,0,0,0,1,0,0,3,0,0,0,4
14,0,0,444795.0,4474187.0,1,4,19,25,3,5,0,0,0,8,0,0,0,0,2,2,2,0,0,2,3,5,0,0,3
9,8,2,438319.0,4476814.0,1,4,20,15,0,3,0,0,0,3,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1
2,7,3,441928.0,4471733.0,1,4,20,10,1,1,1,0,0,3,0,0,0,1,0,0,0,1,0,1,2,0,1,0,1
8,6,2,441783.0,4482707.0,1,4,20,30,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1
4,3,3,441603.0,4474805.0,1,4,20,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7
6,2,3,439654.0,4478759.0,1,4,20,20,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2
